Fecha,Hora,Parque La Granja-Sta Cruz de TF DD (Grd),Flag,Parque La Granja-Sta Cruz de TF VV (m/s),Flag,Parque La Granja-Sta Cruz de TF TMP (ºC),Flag,Parque La Granja-Sta Cruz de TF HR (%),Flag,Parque La Granja-Sta Cruz de TF PRB (mb),Flag
08-08-2015,24:00,160,V,1.2,V,24,V,,N,1002,V
09-08-2015,24:00,115,V,1.9,V,23.7,V,,N,1002,V
10-08-2015,24:00,231,V,0.3,V,24.3,V,,N,1003,V
11-08-2015,24:00,264,V,0.2,V,26.8,V,,N,1002,V
12-08-2015,24:00,138,V,1.3,V,27.8,V,,N,1003,V
13-08-2015,24:00,224,V,0.9,V,25.5,V,,N,1006,V
14-08-2015,24:00,159,V,1.7,V,24.1,V,,N,1007,V
15-08-2015,24:00,114,V,2.4,V,23.3,V,,N,1007,V
16-08-2015,24:00,158,V,1.7,V,23.4,V,,N,1006,V
17-08-2015,24:00,183,V,1.5,V,24.3,V,,N,1005,V
18-08-2015,24:00,137,V,1.5,V,24.1,V,,N,1004,V
19-08-2015,24:00,135,V,1.6,V,23.8,V,,N,1004,V
20-08-2015,24:00,245,V,0.6,V,23.7,V,,N,1006,V
21-08-2015,24:00,244,V,1,V,24.2,V,,N,1007,V
22-08-2015,24:00,175,V,1.8,V,24,V,,N,1007,V
23-08-2015,24:00,130,V,1.9,V,24,V,,N,1006,V
24-08-2015,24:00,202,V,1.1,V,23.9,V,,N,1006,V
25-08-2015,24:00,246,V,0.9,V,24.1,V,,N,1006,V
26-08-2015,24:00,184,V,1.8,V,24.4,V,,N,1006,V
27-08-2015,24:00,199,V,1.6,V,24.3,V,,N,1005,V
28-08-2015,24:00,182,V,1.7,V,24.5,V,,N,1004,V
29-08-2015,24:00,228,V,1.6,V,24.6,V,,N,1002,V
30-08-2015,24:00,177,V,2,V,24.1,V,,N,1004,V
31-08-2015,24:00,247,V,0.6,V,25,V,,N,1005,V
01-09-2015,24:00,131,V,1.8,V,25.3,V,,N,1006,V
02-09-2015,24:00,184,V,1.4,V,24.2,V,,N,1006,V
03-09-2015,24:00,206,V,1.3,V,23.8,V,,N,1006,V
04-09-2015,24:00,182,V,1.3,V,24.3,V,,N,1006,V
05-09-2015,24:00,271,V,1,V,24.6,V,,N,1005,V
06-09-2015,24:00,271,V,0.3,V,24.6,V,,N,1005,V
07-09-2015,24:00,135,V,1.3,V,24.3,V,,N,1006,V
08-09-2015,24:00,133,V,1.3,V,23.3,V,,N,1006,V
09-09-2015,24:00,131,V,1.4,V,24.6,V,,N,1004,V
10-09-2015,24:00,247,V,1.9,V,24.7,V,,N,1004,V
11-09-2015,24:00,225,V,1.3,V,25.7,V,,N,1004,V
12-09-2015,24:00,202,V,1.1,V,24.6,V,,N,1004,V
13-09-2015,24:00,177,V,1.5,V,23.9,V,,N,1005,V
14-09-2015,24:00,136,V,1.2,V,24.1,V,,N,1006,V
15-09-2015,24:00,204,V,1.6,V,24.1,V,,N,1005,V
16-09-2015,24:00,270,V,1.4,V,24,V,,N,1003,V
17-09-2015,24:00,180,V,2.3,V,24.2,V,,N,1003,V
18-09-2015,24:00,112,V,1.2,V,23,V,,N,1004,V
19-09-2015,24:00,133,V,1.5,V,22.4,V,,N,1005,V
20-09-2015,24:00,268,V,0.6,V,22.8,V,,N,1004,V
21-09-2015,24:00,133,V,1.4,V,23.4,V,,N,1003,V
22-09-2015,24:00,267,V,0.4,V,26.5,V,,N,1002,V
23-09-2015,24:00,269,V,0.3,V,25,V,,N,1003,V
24-09-2015,24:00,157,V,1.3,V,24.4,V,,N,1004,V
25-09-2015,24:00,136,V,1.2,V,24.1,V,,N,1004,V
26-09-2015,24:00,174,V,1.6,V,23.3,V,,N,1004,V
27-09-2015,24:00,136,V,1.9,V,23.6,V,,N,1003,V
28-09-2015,24:00,179,V,1.3,V,22.5,V,,N,1002,V
29-09-2015,24:00,163,V,1.5,V,22.5,V,,N,1001,V
30-09-2015,24:00,156,V,1.6,V,22.3,V,,N,1004,V
01-10-2015,24:00,137,V,1,V,22.3,V,,N,1006,V
02-10-2015,24:00,139,V,1.2,V,23.2,V,,N,1005,V
03-10-2015,24:00,179,V,1.7,V,25.6,V,,N,1003,V
04-10-2015,24:00,159,V,1.1,V,27,V,,N,1005,V
05-10-2015,24:00,248,V,1.2,V,26.7,V,,N,1007,V
06-10-2015,24:00,182,V,1.4,V,25.4,V,,N,1007,V
07-10-2015,24:00,199,V,1.7,V,24.1,V,,N,1006,V
08-10-2015,24:00,217,V,1.7,V,23.2,V,,N,1005,V
09-10-2015,24:00,184,V,2.1,V,22.6,V,,N,1003,V
10-10-2015,24:00,177,V,1.6,V,24.1,V,,N,1001,V
11-10-2015,24:00,296,V,1.7,V,23.8,V,,N,1000,V
12-10-2015,24:00,188,V,1.1,V,23.2,V,,N,1003,V
13-10-2015,24:00,131,V,1.1,V,22.7,V,,N,1003,V
14-10-2015,24:00,226,V,0.6,V,22.1,V,,N,1002,V
15-10-2015,24:00,186,V,1.9,V,22.2,V,,N,999,V
16-10-2015,24:00,220,V,1.8,V,23.9,V,,N,995,V
17-10-2015,24:00,180,V,1.5,V,23.3,V,,N,999,V
18-10-2015,24:00,294,V,1.9,V,22.7,V,,N,999,V
19-10-2015,24:00,250,V,1.9,V,21.6,V,,N,1001,V
20-10-2015,24:00,286,V,1.6,V,21.2,V,,N,1000,V
21-10-2015,24:00,250,V,0.4,V,20.6,V,,N,999,V
22-10-2015,24:00,269,V,0.5,V,18.7,V,,N,1001,V
23-10-2015,24:00,181,V,1.9,V,21.2,V,,N,1002,V
24-10-2015,24:00,187,V,1.4,V,21.2,V,,N,1002,V
25-10-2015,24:00,288,V,0.6,V,21.7,V,,N,1004,V
26-10-2015,24:00,312,V,0.8,V,21.5,V,,N,1005,V
27-10-2015,24:00,296,V,0.7,V,21.5,V,,N,1006,V
28-10-2015,24:00,224,V,0.4,V,21,V,,N,1006,V
29-10-2015,24:00,248,V,0.4,V,20.8,V,,N,1006,V
30-10-2015,24:00,183,V,1.4,V,21.4,V,,N,1004,V
31-10-2015,24:00,184,V,1.6,V,19.6,V,,N,1006,V
01-11-2015,24:00,229,V,1.3,V,19.1,V,,N,1006,V
02-11-2015,24:00,295,V,1.1,V,19.5,V,,N,1005,V
03-11-2015,24:00,319,V,0.7,V,20,V,,N,1007,V
04-11-2015,24:00,313,V,0.5,V,20.3,V,,N,1008,V
05-11-2015,24:00,311,V,0.3,V,20.6,V,,N,1008,V
06-11-2015,24:00,140,V,1.5,V,21.6,V,,N,1008,V
07-11-2015,24:00,138,V,1.6,V,21.3,V,,N,1007,V
08-11-2015,24:00,312,V,0.8,V,21.1,V,,N,1008,V
09-11-2015,24:00,269,V,0.2,V,21.8,V,,N,1011,V
10-11-2015,24:00,136,V,1.1,V,21.5,V,,N,1011,V
11-11-2015,24:00,248,V,0.2,V,21.2,V,,N,1008,V
12-11-2015,24:00,136,V,1.4,V,22,V,,N,1006,V
13-11-2015,24:00,158,V,1.3,V,22.4,V,,N,1009,V
14-11-2015,24:00,268,V,0.3,V,21.9,V,,N,1009,V
15-11-2015,24:00,273,V,0.2,V,22.4,V,,N,1008,V
16-11-2015,24:00,113,V,1.5,V,21.3,V,,N,1009,V
17-11-2015,24:00,177,V,1.4,V,20.3,V,,N,1010,V
18-11-2015,24:00,140,V,1.6,V,21.3,V,,N,1010,V
19-11-2015,24:00,154,V,1.2,V,20.6,V,,N,1011,V
20-11-2015,24:00,116,V,1.8,V,19.6,V,,N,1014,V
21-11-2015,24:00,182,V,1.5,V,19.5,V,,N,1012,V
22-11-2015,24:00,229,V,1.8,V,19.6,V,,N,1007,V
23-11-2015,24:00,202,V,1.7,V,18.8,V,,N,1007,V
24-11-2015,24:00,184,V,1.6,V,19.4,V,,N,1010,V
25-11-2015,24:00,160,V,1.5,V,19.6,V,,N,1013,V
26-11-2015,24:00,203,V,1,V,19.7,V,,N,1010,V
27-11-2015,24:00,224,V,1.2,V,19.6,V,,N,1006,V
28-11-2015,24:00,138,V,1.6,V,19.9,V,,N,1006,V
29-11-2015,24:00,155,V,1.4,V,19.9,V,,N,1009,V
30-11-2015,24:00,289,V,0.3,V,19.3,V,,N,1011,V
01-12-2015,24:00,206,V,1.5,V,20.6,V,,N,1012,V
02-12-2015,24:00,270,V,0.6,V,19.9,V,,N,1011,V
03-12-2015,24:00,271,V,0.5,V,19.2,V,,N,1011,V
04-12-2015,24:00,135,V,1.5,V,19.2,V,,N,1012,V
05-12-2015,24:00,296,V,0.3,V,19.3,V,,N,1012,V
06-12-2015,24:00,223,V,1.2,V,20,V,,N,1009,V
07-12-2015,24:00,292,V,0.2,V,19.5,V,,N,1008,V
08-12-2015,24:00,177,V,0.9,V,19.4,V,,N,1010,V
09-12-2015,24:00,140,V,1.5,V,19.4,V,,N,1011,V
10-12-2015,24:00,137,V,1.6,V,19.3,V,,N,1011,V
11-12-2015,24:00,244,V,0.3,V,18.4,V,,N,1010,V
12-12-2015,24:00,313,V,0.5,V,18.5,V,,N,1008,V
13-12-2015,24:00,312,V,0.5,V,18.2,V,,N,1005,V
14-12-2015,24:00,198,V,2.4,V,18.4,V,,N,1004,V
15-12-2015,24:00,183,V,3.1,V,19.8,V,,N,1007,V
16-12-2015,24:00,224,V,2,V,22.2,V,,N,1009,V
17-12-2015,24:00,292,V,0.3,V,20.2,V,,N,1012,V
18-12-2015,24:00,180,V,1.4,V,19.7,V,,N,1011,V
19-12-2015,24:00,271,V,0.4,V,20.1,V,,N,1010,V
20-12-2015,24:00,161,V,1.5,V,19.6,V,,N,1011,V
21-12-2015,24:00,176,V,1.3,V,19,V,,N,1011,V
22-12-2015,24:00,133,V,1.4,V,19.1,V,,N,1012,V
23-12-2015,24:00,272,V,0.2,V,18.5,V,,N,1014,V
24-12-2015,24:00,316,V,0.5,V,18.2,V,,N,1013,V
25-12-2015,24:00,200,V,2.5,V,18.3,V,,N,1010,V
26-12-2015,24:00,203,V,2.4,V,20.5,V,,N,1006,V
27-12-2015,24:00,204,V,1.5,V,18.7,V,,N,1006,V
28-12-2015,24:00,295,V,0.6,V,18.2,V,,N,1012,V
29-12-2015,24:00,294,V,0.3,V,18.1,V,,N,1016,V
30-12-2015,24:00,315,V,0.5,V,18.1,V,,N,1015,V
31-12-2015,24:00,312,V,0.6,V,17.2,V,,N,1013,V
