Fecha,Hora,Parque La Granja-Sta Cruz de TF SO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF CO (mg/m³),Flag,Parque La Granja-Sta Cruz de TF NO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF PM10 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF NOX (µg/m³),Flag
16-07-2015,24:00,4,V,0.4,V,42,V,,N,45,V
17-07-2015,24:00,5,V,0.4,V,58,V,,N,72,V
18-07-2015,24:00,3,V,0.3,V,36,V,,N,41,V
19-07-2015,24:00,2,V,0.3,V,21,V,,N,21,V
20-07-2015,24:00,2,V,0.3,V,15,V,,N,15,V
21-07-2015,24:00,2,V,0.4,V,7,V,,N,6,V
22-07-2015,24:00,2,V,0.4,V,9,V,,N,12,V
23-07-2015,24:00,5,V,0.4,V,20,V,,N,24,V
24-07-2015,24:00,2,V,0.3,V,22,V,,N,24,V
25-07-2015,24:00,2,V,0.4,V,7,V,,N,8,V
26-07-2015,24:00,2,V,0.4,V,8,V,,N,7,V
27-07-2015,24:00,2,V,0.4,V,9,V,,N,8,V
28-07-2015,24:00,2,V,0.4,V,12,V,,N,12,V
29-07-2015,24:00,2,V,0.4,V,12,V,,N,13,V
30-07-2015,24:00,2,V,0.4,V,6,V,,N,5,V
31-07-2015,24:00,2,V,0.4,V,7,V,,N,6,V
01-08-2015,24:00,,N,0.4,V,9,V,,N,7,V
02-08-2015,24:00,,N,0.4,V,7,V,,N,7,V
03-08-2015,24:00,,N,0.4,V,8,V,,N,8,V
04-08-2015,24:00,2,V,0.5,V,13,V,,N,13,V
05-08-2015,24:00,2,V,0.4,V,11,V,,N,10,V
06-08-2015,24:00,2,V,0.4,V,11,V,,N,10,V
07-08-2015,24:00,2,V,0.4,V,14,V,,N,13,V
08-08-2015,24:00,2,V,0.4,V,13,V,,N,12,V
09-08-2015,24:00,2,V,0.4,V,11,V,,N,10,V
10-08-2015,24:00,2,V,0.5,V,38,V,,N,44,V
11-08-2015,24:00,4,V,0.6,V,41,V,,N,54,V
12-08-2015,24:00,6,V,0.4,V,31,V,,N,37,V
13-08-2015,24:00,3,V,0.4,V,26,V,,N,29,V
14-08-2015,24:00,2,V,0.4,V,23,V,,N,24,V
15-08-2015,24:00,3,V,0.4,V,9,V,,N,8,V
16-08-2015,24:00,4,V,0.4,V,9,V,,N,7,V
17-08-2015,24:00,2,V,0.4,V,10,V,,N,9,V
18-08-2015,24:00,3,V,0.4,V,12,V,,N,11,V
19-08-2015,24:00,5,V,0.4,V,15,V,,N,16,V
20-08-2015,24:00,2,V,0.4,V,17,V,,N,17,V
21-08-2015,24:00,2,V,0.4,V,15,V,,N,16,V
22-08-2015,24:00,2,V,0.4,V,9,V,,N,7,V
23-08-2015,24:00,2,V,0.3,V,9,V,,N,7,V
24-08-2015,24:00,2,V,0.4,V,14,V,,N,15,V
25-08-2015,24:00,2,V,0.4,V,14,V,,N,14,V
26-08-2015,24:00,2,V,0.4,V,10,V,,N,9,V
27-08-2015,24:00,2,V,0.4,V,12,V,9,V,11,V
28-08-2015,24:00,2,V,0.4,V,9,V,7,V,8,V
29-08-2015,24:00,2,V,0.4,V,10,V,7,V,8,V
30-08-2015,24:00,3,V,0.4,V,17,V,7,V,17,V
31-08-2015,24:00,,N,,N,,N,9,V,,N
01-09-2015,24:00,,N,,N,,N,8,V,,N
02-09-2015,24:00,2,V,0.4,V,15,V,8,V,15,V
03-09-2015,24:00,3,V,0.4,V,19,V,9,V,18,V
04-09-2015,24:00,2,V,0.4,V,17,V,8,V,17,V
05-09-2015,24:00,5,V,0.4,V,16,V,6,V,14,V
06-09-2015,24:00,3,V,0.4,V,22,V,8,V,23,V
07-09-2015,24:00,3,V,0.4,V,26,V,8,V,29,V
08-09-2015,24:00,7,V,0.5,V,28,V,9,V,29,V
09-09-2015,24:00,2,V,0.4,V,23,V,10,V,24,V
10-09-2015,24:00,5,V,0.4,V,17,V,10,V,16,V
11-09-2015,24:00,4,V,0.4,V,13,V,5,V,13,V
12-09-2015,24:00,2,V,0.4,V,19,V,7,V,18,V
13-09-2015,24:00,2,V,0.4,V,21,V,8,V,20,V
14-09-2015,24:00,2,V,0.4,V,25,V,8,V,28,V
15-09-2015,24:00,17,V,0.5,V,24,V,10,V,28,V
16-09-2015,24:00,2,V,0.4,V,14,V,7,V,13,V
17-09-2015,24:00,3,V,0.4,V,20,V,8,V,20,V
18-09-2015,24:00,2,V,0.4,V,41,V,9,V,55,V
19-09-2015,24:00,2,V,0.4,V,27,V,9,V,26,V
20-09-2015,24:00,2,V,0.3,V,21,V,9,V,20,V
21-09-2015,24:00,2,V,0.5,V,31,V,28,V,32,V
22-09-2015,24:00,4,V,0.5,V,35,V,47,V,43,V
23-09-2015,24:00,5,V,0.5,V,43,V,45,V,52,V
24-09-2015,24:00,2,V,0.5,V,40,V,46,V,39,V
25-09-2015,24:00,2,V,0.5,V,33,V,37,V,35,V
26-09-2015,24:00,2,V,0.4,V,22,V,22,V,21,V
27-09-2015,24:00,2,V,0.4,V,15,V,10,V,13,V
28-09-2015,24:00,6,V,0.4,V,33,V,14,V,33,V
29-09-2015,24:00,4,V,0.5,V,40,V,14,V,39,V
30-09-2015,24:00,2,V,0.4,V,38,V,15,V,41,V
01-10-2015,24:00,2,V,0.4,V,40,V,20,V,39,V
02-10-2015,24:00,4,V,0.4,V,49,V,29,V,58,V
03-10-2015,24:00,6,V,0.5,V,51,V,59,V,73,V
04-10-2015,24:00,8,V,0.4,V,44,V,45,V,55,V
05-10-2015,24:00,7,V,0.4,V,30,V,44,V,36,V
06-10-2015,24:00,13,V,0.4,V,29,V,10,V,29,V
07-10-2015,24:00,2,V,0.4,V,28,V,9,V,27,V
08-10-2015,24:00,2,V,0.4,V,31,V,6,V,28,V
09-10-2015,24:00,3,V,0.4,V,41,V,7,V,40,V
10-10-2015,24:00,3,V,0.5,V,44,V,8,V,44,V
11-10-2015,24:00,2,V,0.4,V,15,V,4,V,11,V
12-10-2015,24:00,3,V,0.3,V,21,V,6,V,17,V
13-10-2015,24:00,3,V,0.4,V,52,V,8,V,53,V
14-10-2015,24:00,4,V,0.4,V,36,V,11,V,35,V
15-10-2015,24:00,2,V,0.5,V,36,V,9,V,36,V
16-10-2015,24:00,2,V,0.4,V,22,V,11,V,23,V
17-10-2015,24:00,2,V,0.4,V,18,V,9,V,16,V
18-10-2015,24:00,2,V,0.4,V,21,V,6,V,18,V
19-10-2015,24:00,4,V,0.4,V,27,V,8,V,22,V
20-10-2015,24:00,2,V,0.4,V,33,V,9,V,31,V
21-10-2015,24:00,9,V,0.6,V,61,V,10,V,66,V
22-10-2015,24:00,2,V,0.5,V,85,V,8,V,90,V
23-10-2015,24:00,3,V,0.5,V,50,V,12,V,66,V
24-10-2015,24:00,5,V,0.5,V,48,V,9,V,46,V
25-10-2015,24:00,2,V,0.4,V,28,V,7,V,23,V
26-10-2015,24:00,2,V,0.4,V,47,V,6,V,41,V
27-10-2015,24:00,3,V,0.5,V,,N,6,V,,N
28-10-2015,24:00,5,V,0.5,V,,N,6,V,,N
29-10-2015,24:00,3,V,0.5,V,,N,6,V,,N
30-10-2015,24:00,11,V,0.5,V,,N,5,V,,N
31-10-2015,24:00,2,V,0.4,V,,N,4,V,,N
01-11-2015,24:00,2,V,0.4,V,,N,5,V,,N
02-11-2015,24:00,6,V,0.4,V,,N,5,V,,N
03-11-2015,24:00,9,V,0.5,V,,N,6,V,,N
04-11-2015,24:00,2,V,0.5,V,29,V,7,V,34,V
05-11-2015,24:00,2,V,0.5,V,27,V,6,V,32,V
06-11-2015,24:00,3,V,0.5,V,23,V,7,V,28,V
07-11-2015,24:00,3,V,0.5,V,21,V,10,V,26,V
08-11-2015,24:00,2,V,0.4,V,18,V,10,V,20,V
09-11-2015,24:00,5,V,0.6,V,43,V,59,V,63,V
10-11-2015,24:00,9,V,0.5,V,45,V,32,V,52,V
11-11-2015,24:00,3,V,0.5,V,51,V,37,V,64,V
12-11-2015,24:00,3,V,0.5,V,42,V,39,V,51,V
13-11-2015,24:00,12,V,0.5,V,47,V,46,V,59,V
14-11-2015,24:00,6,V,0.5,V,42,V,35,V,47,V
15-11-2015,24:00,5,V,0.4,V,36,V,23,V,40,V
16-11-2015,24:00,4,V,0.5,V,48,V,30,V,57,V
17-11-2015,24:00,6,V,0.5,V,26,V,24,V,30,V
18-11-2015,24:00,17,V,0.5,V,25,V,37,V,28,V
19-11-2015,24:00,3,V,0.6,V,33,V,41,V,38,V
20-11-2015,24:00,3,V,0.8,V,36,V,30,V,44,V
21-11-2015,24:00,2,V,0.4,V,14,V,19,V,16,V
22-11-2015,24:00,2,V,0.4,V,8,V,9,V,10,V
23-11-2015,24:00,2,V,0.4,V,10,V,6,V,12,V
24-11-2015,24:00,2,V,0.4,V,12,V,8,V,14,V
25-11-2015,24:00,3,V,0.4,V,21,V,9,V,25,V
26-11-2015,24:00,3,V,0.5,V,19,V,10,V,22,V
27-11-2015,24:00,3,V,0.4,V,12,V,10,V,14,V
28-11-2015,24:00,2,V,0.5,V,21,V,13,V,25,V
29-11-2015,24:00,2,V,0.5,V,23,V,16,V,26,V
30-11-2015,24:00,3,V,0.5,V,38,V,22,V,51,V
01-12-2015,24:00,2,V,0.5,V,38,V,36,V,44,V
02-12-2015,24:00,3,V,0.5,V,36,V,30,V,41,V
03-12-2015,24:00,25,V,0.5,V,35,V,63,V,39,V
04-12-2015,24:00,5,V,0.5,V,44,V,52,V,57,V
05-12-2015,24:00,4,V,0.5,V,46,V,17,V,57,V
06-12-2015,24:00,3,V,0.5,V,31,V,14,V,35,V
