Fecha,Hora,"Parque La Granja-Sta Cruz de TF PM2,5 (µg/m³)",Flag,Parque La Granja-Sta Cruz de TF CO (mg/m³),Flag,Parque La Granja-Sta Cruz de TF BEN (µg/m³),Flag,Parque La Granja-Sta Cruz de TF TOL (µg/m³),Flag,Parque La Granja-Sta Cruz de TF XIL (µg/m³),Flag
22-11-2016,24:00,,N,0.2,V,,N,,N,,N
23-11-2016,24:00,,N,0.2,V,,N,,N,,N
24-11-2016,24:00,,N,0.3,V,,N,,N,,N
25-11-2016,24:00,,N,0.3,V,,N,,N,,N
26-11-2016,24:00,,N,0.3,V,,N,,N,,N
27-11-2016,24:00,,N,0.2,V,,N,,N,,N
28-11-2016,24:00,,N,0.3,V,,N,,N,,N
29-11-2016,24:00,,N,0.4,V,,N,,N,,N
30-11-2016,24:00,,N,0.5,V,,N,,N,,N
01-12-2016,24:00,,N,0.5,V,,N,,N,,N
02-12-2016,24:00,,N,0.5,V,,N,,N,,N
03-12-2016,24:00,,N,0.4,V,,N,,N,,N
04-12-2016,24:00,,N,0.4,V,,N,,N,,N
05-12-2016,24:00,,N,0.5,V,,N,,N,,N
06-12-2016,24:00,,N,0.4,V,,N,,N,,N
07-12-2016,24:00,,N,0.4,V,,N,,N,,N
08-12-2016,24:00,,N,0.4,V,,N,,N,,N
09-12-2016,24:00,,N,0.5,V,,N,,N,,N
10-12-2016,24:00,,N,0.4,V,,N,,N,,N
11-12-2016,24:00,,N,0.4,V,,N,,N,,N
12-12-2016,24:00,,N,0.5,V,,N,,N,,N
13-12-2016,24:00,,N,,N,,N,,N,,N
14-12-2016,24:00,,N,0.4,V,,N,,N,,N
15-12-2016,24:00,,N,0.5,V,,N,,N,,N
16-12-2016,24:00,,N,0.4,V,,N,,N,,N
17-12-2016,24:00,,N,0.4,V,,N,,N,,N
18-12-2016,24:00,,N,0.4,V,,N,,N,,N
19-12-2016,24:00,,N,0.5,V,,N,,N,,N
20-12-2016,24:00,,N,0.5,V,,N,,N,,N
21-12-2016,24:00,,N,0.5,V,,N,,N,,N
22-12-2016,24:00,,N,0.5,V,,N,,N,,N
23-12-2016,24:00,,N,0.5,V,,N,,N,,N
24-12-2016,24:00,,N,0.5,V,,N,,N,,N
25-12-2016,24:00,,N,0.5,V,,N,,N,,N
26-12-2016,24:00,,N,0.4,V,,N,,N,,N
